%um O O 
you O O 
. O O 
They O O 
seemed O O 
surprised O O 
that O O 
, O O 
I O O 
mean O O 
most O O 
women O O 
you O O 
lose O O 
your O O 
baby O O 
that O O 
's O O 
it O O 
. O O 

But O O 
almighty O O 
God O O 
is O O 
You O O 
never O O 
even O O 
get O O 
a O O 
chance O O 
to O O 
see O O 
them O O 
again O O 
. O O 
That O O 
's O O 
true O O 
. O O 
That O O 
's O O 
true O O 
. O O 
But O O 
that O O 
's O O 
what O O 
she O O 
had O O 
wrote O O 
me O O 
. O O 

she O O 
said O O 
it O O 
is O O 
just O O 
awesome O O 
to O O 
her O O 
what O O 
is O O 
happening O O 
. O O 
yup O O 
. O O 
mhm O O 
. O O 
aw O O 
I O O 
've O O 
heard O O 
of O O 
that O O 
. O O 
yup O O 
. O O 

So O O 
Francis B-PERSON B-PERSON 
Did O O 
she O O 
say O O 
how O O 
she O O 
felt O O 
about O O 
what O O 
had O O 
happened O O 
? O O 
No O O 
. O O 
we O O 
have O O 
n't O O 
really O O 
talked O O 
about O O 
that O O 
but O O 
I O O 
'm O O 
planning O O 
on O O 
making O O 
a O O 
trip O O 
down O O 
to O O 
visit O O 
her O O 
. O O 

Well O O 
, O O 
how O O 
does O O 
Akina B-PERSON B-PERSON 
feel O O 
? O O 
she O O 
's O O 
, O O 
very O O 
happy O O 
about O O 
it O O 
. O O 
Very O O 
ha- O O 
Well O O 
did O O 
she O O 
come O O 
home O O 
and O O 
say O O 
I O O 
saw O O 
her O O 
, O O 
I O O 
look O O 
like O O 
her O O 
or O O 
what O O 
? O O 
we O O 
talked O O 
on O O 
the O O 
phone O O 

and O O 
you O O 
know O O 
she O O 
talked O O 
about O O 
%um O O 
her O O 
sisters O O 
you O O 
know O O 
and O O 
things O O 
we O O 
've O O 
spent O O 
the O O 
night B-TIME O 
with O O 
her O O 
sisters O O 
and O O 
things O O 
and O O 
%um O O 
it O O 
's O O 
just O O 
been O O 
quite O O 
interesting O O 
although O O 
when O O 
she O O 
was O O 
in O O 
Rhode B-GPE B-GPE 
Island I-GPE I-GPE 
she O O 
was O O 
very O O 
disruptive O O 
, O O 
%um O O 
down O O 
there O O 
and O O 
really O O 
caused O O 
Francis B-PERSON B-PERSON 
a O O 
lot O O 
of O O 
stress O O 
and O O 
%um O O 
Francis B-PERSON B-PERSON 
was O O 
very O O 
worried O O 
about O O 
me O O 
because O O 
she O O 
came O O 
home O O 
two B-DATE B-DATE 
weeks I-DATE I-DATE 
before O O 
you O O 
know O O 
%um O O 
because O O 
she O O 
just O O 
was O O 
acting O O 
like O O 
a O O 
total O O 
nigger O O 
child O O 
. O O 
uh-oh O O 
! O O 

Hope O O 
the O O 
research O O 
did O O 
n't O O 
hear O O 
that O O 
! O O 
uh-oh O O 
! O O 
Alita B-PERSON B-PERSON 
I O O 
'm O O 
telling O O 
you O O 
nobody O O 
can O O 
handle O O 
her O O 
but O O 
you O O 
, O O 
okay O O 
. O O 
And O O 
%um O O 
, O O 
but O O 
she O O 
was O O 
very O O 
concerned O O 
about O O 
me O O 
and O O 
everything O O 
%um O O 
because O O 
%um O O 
the O O 
child O O 
had O O 
told O O 
some O O 
lies O O 
about O O 
me O O 
and O O 
about O O 
you O O 
. O O 

oh O O 
. O O 
oh O O 
296.72_297.91_A: O O 
oh O O 
no O O 
. O O 
And O O 
about O O 
oh O O 
yeah O O 
mhm O O 
oh O O 
goodness O O 
. O O 

yeah O O 
. O O 
That O O 
we O O 
were O O 
abusing O O 
, O O 
that O O 
%um O O 
you O O 
know O O 
, O O 
oh O O 
yeah O O 
she O O 
did O O 
some O O 
%eh O O 
, O O 

and O O 
it O O 
was O O 
very O O 
, O O 
very O O 
bad O O 
. O O 
My O O 
daughter O O 
- O O 
in O O 
- O O 
law O O 
Barbara B-PERSON B-PERSON 
got O O 
on O O 
her O O 
case O O 
real O O 
serious O O 
yesterday B-DATE O 
. O O 
Told O O 
her O O 
that O O 
she O O 
could O O 
n't O O 
talk O O 
to O O 
Jasmine B-PERSON B-PERSON 
play O O 
with O O 
Jasmine B-PERSON B-PERSON 
because O O 
she O O 
said O O 
she O O 
hurt O O 
Jasmine B-PERSON B-PERSON 
's O O 
Jetta B-PERSON B-PERSON 
you O O 
know O O 
and O O 
she O O 
said O O 
that O O 
if O O 
it O O 
was O O 
n't O O 
for O O 
Jetta B-PERSON B-PERSON 
you O O 
know O O 
Jasmine B-PERSON B-PERSON 
's O O 
daddy O O 
would O O 
n't O O 
be O O 
oh O O 
she O O 
'd O O 

oh O O 
man O O 
%uh O O 
it O O 
was O O 
aw O O 
. O O 
You O O 
know O O 
that O O 
has O O 
always O O 
been O O 
very O O 
scary O O 
to O O 
me O O 
even O O 
after O O 
. O O 
I O O 
said O O 
to O O 
Mark B-PERSON O 
oh O O 
my O O 
god O O 
. O O 
What O O 
's O O 
she O O 
going O O 
to O O 
say O O 
because O O 
I O O 
knew O O 
what O O 
she O O 
would O O 
do O O 
if O O 
I O O 
took O O 
her O O 
somewhere O O 
you O O 
know O O 
what O O 
she O O 
would O O 
say O O 

and O O 
I O O 
, O O 
you O O 
know O O 
in O O 
the O O 
climate O O 
of O O 
today O O 
, O O 
Yes O O 
. O O 
people O O 
saying O O 
something O O 
like O O 
that O O 
. O O 
That O O 
well O O 
, O O 
you O O 
know O O 
that O O 
's O O 
and O O 
Francis B-PERSON B-PERSON 
was O O 
very O O 
concerned O O 
in O O 
reference O O 
to O O 
you O O 
know O O 
she O O 
was O O 
in O O 
school O O 
and O O 
things O O 

and O O 
she O O 
was O O 
very O O 
, O O 
very O O 
concerned O O 
. O O 
Alita B-PERSON B-PERSON 
she O O 
said O O 
this O O 
little O O 
girl O O 
has O O 
a O O 
serious O O 
problem O O 
. O O 
She O O 
wrote O O 
me O O 
a O O 
letter O O 
mhm O O 
. O O 
you O O 
know O O 
about O O 
her O O 
needing O O 
a O O 
lot O O 
of O O 
love O O 
, O O 
a O O 
lot O O 
of O O 
%um O O 
help O O 
and O O 
different O O 
things O O 
like O O 
this O O 
, O O 
but O O 
you O O 
know O O 
you O O 
've O O 
heard O O 
the O O 
saying O O 
I O O 
'm O O 
sure O O 
from O O 
your O O 
grandmother O O 
the O O 
sins O O 
of O O 
your O O 
parents O O 
will O O 
be O O 
waged O O 
back O O 
at O O 
you O O 
, O O 
%hm O O 
. O O 
you O O 
know O O 
, O O 

%um O O 
and O O 
again O O 
my O O 
husband O O 
said O O 
we O O 
were O O 
going O O 
to O O 
give O O 
it O O 
a B-DATE O 
month I-DATE O 
, O O 
you O O 
know O O 
and O O 
said O O 
he O O 
was O O 
even O O 
going O O 
to O O 
have O O 
to O O 
sheik O O 
pray O O 
over O O 
her O O 
, O O 
you O O 
know O O 
for O O 
the O O 
jen O O 
. O O 
%hm O O 
. O O 
You O O 
know O O 
, O O 
I O O 
mean O O 
, O O 
we O O 
're O O 
d- O O 
, O O 
you O O 
know O O 
, O O 
and O O 
I O O 
think O O 
we O O 
're O O 
still O O 
going O O 
to O O 
be O O 
doing O O 
that O O 
but O O 
I O O 
think O O 
he O O 
's O O 
at O O 
a O O 
point O O 
now O O 
where O O 
he O O 
's O O 
reserved O O 
us O O 
of O O 
that O O 
%um O O 
, O O 
you O O 
know O O 
that O O 
she O O 
may O O 
end O O 
up O O 
going O O 
%um O O 
to O O 
%uh O O 
t- O O 

oh O O 
well O O 
the O O 
thing O O 
is O O 
your O O 
whole O O 
life O O 
has O O 
been O O 
around O O 
her O O 
mhm O O 
. O O 
more O O 
or O O 
less O O 
mhm O O 
. O O 
mhm O O 
. O O 
I O O 
mean O O 
it O O 
is O O 
you O O 
know O O 
I O O 
mean O O 
absorbed O O 
mhm O O 
. O O 
mhm O O 
. O O 
where O O 
is O O 
, O O 
you O O 
know O O 

mhm O O 
%mm O O 
. O O 
and O O 
you O O 
know O O 
, O O 
I O O 
mean O O 
this O O 
is O O 
a O O 
lousy O O 
%eh O O 
I O O 
truly O O 
believe O O 
that O O 
**Salem** O O 
I O O 
do O O 
n't O O 
think O O 
, O O 

you O O 
think O O 
she O O 
'll O O 
be O O 
better O O 
with O O 
her O O 
mother O O 
? O O 
I O O 
have O O 
no O O 
idea O O 
. O O 
I O O 
really O O 
have O O 
no O O 
idea O O 
. O O 
%um O O 
, O O 
but O O 
you O O 
know O O 
the O O 
, O O 
if O O 
this O O 
does O O 
happen O O 
and O O 
I O O 
do O O 
believe O O 
it O O 
may O O 
happen O O 
, O O 
%um O O 
you O O 
know O O 
we O O 
will O O 
have O O 
an O O 
agreement O O 
, O O 
she O O 
and O O 
I O O 
, O O 
you O O 
know O O 
, O O 

%um O O 
she O O 
will O O 
become O O 
the O O 
legal O O 
guardian O O 
and O O 
that O O 
%um O O 
%uh O O 
you O O 
know O O 
I O O 
just O O 
want O O 
her O O 
to O O 
understand O O 
everything O O 
that O O 
has O O 
happened O O 
in O O 
the B-DATE B-DATE 
last I-DATE I-DATE 
several I-DATE I-DATE 
years I-DATE I-DATE 
yeah O O 
. O O 
and O O 
things O O 
like O O 
that O O 
. O O 
She O O 
needs O O 
to O O 
be O O 
clear O O 
about O O 
that O O 
because O O 
this O O 
child O O 
wo O O 
n't O O 
be O O 
like O O 
the O O 
other O O 
two B-CARDINAL B-CARDINAL 
. O O 
%eh O O 
%eh O O 
You O O 
know O O 
, O O 
%um O O 
Well O O 
, O O 
she O O 
said O O 
that O O 
she O O 
was O O 
. O O 
Andre B-PERSON B-PERSON 
said O O 
that O O 
she O O 
was O O 
. O O 

oh O O 
yeah O O 
. O O 
She O O 
was O O 
like O O 
her O O 
two B-CARDINAL B-CARDINAL 
daughters O O 
, O O 
yeah O O 
. O O 
mhm O O 
. O O 
yeah O O 
. O O 

they O O 
had O O 
the O O 
same O O 
, O O 
maybe O O 
just O O 
problems O O 
and O O 
different O O 
, O O 
she O O 
has O O 
n't O O 
been O O 
with O O 
her O O 
children O O 
for O O 
ten B-DATE B-DATE 
years I-DATE I-DATE 
. O O 
Her O O 
, O O 
or O O 
her O O 
two B-CARDINAL B-CARDINAL 
girls O O 
. O O 
%ah O O 
. O O 

And O O 
they O O 
're O O 
twelve B-DATE B-DATE 
and O O 
, O O 
no O O 
they O O 
're O O 
nine B-DATE B-DATE 
and O O 
thirteen B-DATE B-DATE 
or O O 
something O O 
like O O 
that O O 
. O O 
yup O O 
, O O 
but O O 
she O O 
's O O 
working O O 
very O O 
hard O O 
. O O 
She O O 
's O O 
trying O O 
to O O 
become O O 
a O O 
counselor O O 
in O O 
this O O 
drug O O 
program O O 
, O O 
and O O 
things O O 

and O O 
she O O 
sounds O O 
like O O 
she O O 
's O O 
really O O 
trying O O 
hard O O 
. O O 
and O O 
I O O 
just O O 
believe O O 
it O O 
's O O 
you O O 
know O O 
time O O 
, O O 
you O O 
know O O 
and O O 
, O O 
who O O 
would O O 
have O O 
ever O O 
thought O O 
it O O 
though O O 
, O O 
you O O 
know O O 
what O O 
I O O 
mean O O 
? O O 
Does O O 
she O O 
know O O 
that O O 
you O O 
're O O 
Muslim B-NORP B-NORP 
? O O 

mhm O O 
. O O 
mhm O O 
. O O 
yup O O 
. O O 
yup O O 
. O O 
%um O O 
So O O 
that O O 
's O O 
been O O 
my O O 
most O O 
interesting O O 
things O O 
in O O 
the B-DATE B-DATE 
last I-DATE I-DATE 
three I-DATE I-DATE 
weeks I-DATE I-DATE 
. O O 

oh O O 
that O O 
's O O 
some O O 
deep O O 
, O O 
that O O 
's O O 
just O O 
too O O 
deep O O 
. O O 
yup O O 
. O O 
yup O O 
. O O 
mhm O O 
. O O 

yup O O 
. O O 
Been O O 
very O O 
, O O 
very O O 
, O O 
very O O 
, O O 
heavy O O 
. O O 
like O O 
mom O O 
said O O 
she O O 
said O O 
even O O 
if O O 
it O O 
was O O 
going O O 
to O O 
be O O 
in O O 
September B-DATE B-DATE 
, O O 
she O O 
said O O 
the O O 
little O O 
things O O 
I O O 
can O O 
tolerate O O 
you O O 
know O O 
if O O 
that O O 
happens O O 
you O O 
know O O 
. O O 
But O O 
you O O 
know O O 
I O O 
always O O 
worried O O 
you O O 
know O O 
even O O 
after O O 
you O O 
left O O 
I O O 
said O O 
, O O 
I O O 
just O O 
hope O O 
Arlita B-PERSON B-PERSON 
knows O O 
that O O 
you O O 
know O O 
I O O 
tried O O 
my O O 
best O O 
you O O 
know O O 

and O O 
Everybody O O 
has O O 
to O O 
keep O O 
them O O 
, O O 
Selema B-PERSON B-PERSON 
, O O 
everybody O O 
, O O 
everybody O O 
You O O 
know O O 
, O O 
and O O 
I O O 
told O O 
her O O 
I O O 
said O O 
you O O 
know O O 
it O O 
's O O 
a O O 
shame O O 
that O O 
you O O 
ca O O 
n't O O 
go O O 
no O O 
place O O 
and O O 
I O O 
can O O 
get O O 
a O O 
good O O 
report O O 
on O O 
you O O 
you O O 
know O O 
, O O 
%um O O 
, O O 
and O O 
by O O 
her O O 
going O O 
to O O 
Francis B-PERSON B-PERSON 
and O O 
things O O 
, O O 
and O O 
Francis B-PERSON B-PERSON 
seeing O O 
for O O 
herself O O 
, O O 
she O O 
was O O 
like O O 
whoa O O 
. O O 
did O O 
Francis B-PERSON B-PERSON 
feel O O 
she O O 
had O O 
changed O O 
a O O 
lot O O 
? O O 

oh O O 
yes O O 
. O O 
t- O O 
, O O 
oh O O 
yes O O 
. O O 
You O O 
know O O 
, O O 
mhm O O 
, O O 
mhm O O 
. O O 
a- O O 
, O O 

%ah O O 
. O O 
%um O O 
, O O 
%um O O 
, O O 
but O O 
you O O 
know O O 
I O O 
feel O O 
very O O 
at O O 
peace O O 
about O O 
everything O O 
. O O 
uh-huh O O 
. O O 
I O O 
feel O O 
very O O 
at O O 
peace O O 
you O O 
know O O 
. O O 
Well O O 
it O O 
's O O 
good O O 
to O O 
hear O O 
from O O 
Francis B-PERSON B-PERSON 
who O O 
's O O 
had O O 
a O O 
lot O O 
of O O 
child- O O 

Yes O O 
. O O 
Over B-CARDINAL B-CARDINAL 
six I-CARDINAL I-CARDINAL 
hundred I-CARDINAL I-CARDINAL 
. O O 
oh O O 
. O O 
Over B-CARDINAL B-CARDINAL 
six I-CARDINAL I-CARDINAL 
hundred I-CARDINAL I-CARDINAL 
foster O O 
children O O 
. O O 
oh O O 
. O O 

Yes O O 
. O O 
mhm O O 
. O O 
You O O 
know O O 
she O O 
would O O 
've O O 
seen O O 
it O O 
all O O 
. O O 
She O O 
called O O 
mom O O 
to O O 
talk O O 
to O O 
mom O O 
let O O 
's O O 
see O O 
she O O 
bought O O 
, O O 

I O O 
met O O 
her O O 
in O O 
Albany B-GPE B-GPE 
mhm O O 
. O O 
and O O 
she O O 
bought O O 
her O O 
%um O O 
she O O 
caught O O 
, O O 
that O O 
was O O 
on O O 
Friday B-DATE B-DATE 
last I-DATE I-DATE 
Friday I-DATE I-DATE 

she O O 
called O O 
mom O O 
Monday B-DATE B-DATE 
And O O 
talked O O 
to O O 
mom O O 
for O O 
two B-TIME B-TIME 
hours I-TIME I-TIME 
uh-huh O O 
. O O 
%mm O O 
. O O 
She O O 
talked O O 
to O O 
mom O O 
here O O 
in O O 
Rochester B-GPE O 
. O O 
oh O O 
you O O 
're O O 
kidding O O 

I O O 
was O O 
sick O O 
up O O 
in O O 
Syracuse B-GPE B-GPE 
. O O 
She O O 
talked O O 
to O O 
mom O O 
. O O 
something O O 
must O O 
've O O 
been O O 
on O O 
her O O 
mind O O 
. O O 
she O O 
told O O 
mom O O 
she O O 
said O O 
she O O 
was O O 
so O O 
concerned O O 
that O O 
this O O 
little O O 
girl O O 
was O O 
going O O 
to O O 
just O O 
get O O 
out O O 
here O O 
cause O O 
I O O 
was O O 
n't O O 
going O O 
to O O 
send O O 
back O O 
to O O 
the O O 
school O O 
, O O 
the O O 
Muslim B-NORP B-NORP 
school O O 
. O O 

uh-huh O O 
. O O 
And O O 
she O O 
was O O 
just O O 
really O O 
concerned O O 
about O O 
you O O 
know O O 
everything O O 
. O O 
mhm O O 
you O O 
know O O 
. O O 
What O O 
the O O 
possibilities O O 
of O O 
like O O 
Sure O O 
. O O 
Sure O O 
. O O 
yep O O 
. O O 

mhm O O 
. O O 
mhm O O 
. O O 
Well O O 
you O O 
know O O 
or O O 
luck O O 
making O O 
a O O 
way O O 
and O O 
making O O 
it O O 
at O O 
ease O O 
for O O 
you O O 
to O O 
Well O O 
you O O 
know O O 
why O O 
Allah O B-PERSON 
is O O 
doing O O 
this O O 
. O O 
I O O 
'm O O 
going O O 
to O O 
tell O O 
you O O 
why O O 

because O O 
my O O 
daughter O O 
- O O 
in O O 
- O O 
law O O 
is O O 
pregnant O O 
again O O 
. O O 
oh O O 
no O O 
! O O 
She O O 
said O O 
she O O 
was O O 
going O O 
to O O 
call O O 
you O O 
. O O 
She O O 
said O O 
she O O 
was O O 
going O O 
to O O 
call O O 
you O O 
. O O 
I O O 
said O O 
well O O 
you O O 
call O O 
Selema B-PERSON B-PERSON 

and O O 
you O O 
tell O O 
her O O 
. O O 
I O O 
said O O 
oh O O 
and O O 
I O O 
do O O 
n't O O 
have O O 
your O O 
number O O 
in O O 
my O O 
other O O 
phonebook O O 
I O O 
said O O 
. O O 
I O O 
said O O 
you O O 
just O O 
call O O 
her O O 
and O O 
tell O O 
her O O 
yup O O 
she O O 
sure O O 
is O O 
. O O 
oh O O 
my O O 
goodness O O 
. O O 

Goodness O O 
. O O 
Wait O O 
, O O 
wait O O 
, O O 
did O O 
they O O 
do O O 
like O O 
%uh O O 
the O O 
same O O 
thing O O 
they O O 
had O O 
to O O 
do O O 
last O O 
time O O 
? O O 
No O O 
. O O 

You O O 
know O O 
what O O 
? O O 
That O O 
same O O 
thing O O 
happened O O 
to O O 
Aliah O B-PERSON 
. O O 
No O O 
. O O 
She O O 
had O O 
to O O 
take O O 
all O O 
that O O 
stuff O O 
the O O 
first B-ORDINAL B-ORDINAL 
time O O 
but O O 
then O O 
the O O 
second B-ORDINAL B-ORDINAL 
time O O 

Nope O O 
. O O 
yup O O 
. O O 
yup O O 
. O O 
j- O O 
, O O 
j- O O 
, O O 
%uh O O 
, O O 
and O O 
mom O O 
said O O 
, O O 

I O O 
mean O O 
Jasmine B-PERSON B-PERSON 
was O O 
about O B-DATE 
two B-DATE I-DATE 
months I-DATE I-DATE 
old I-DATE I-DATE 
mom O O 
said O O 
oh O O 
goodness O O 
. O O 
%eh O O 
, O O 
I O O 
mean O O 
cause O O 
Jasmine B-PERSON B-PERSON 
is O O 
not O O 
nowhere O O 
like O O 
my O O 
other O O 
little O O 
babies O O 
. O O 
She O O 
is O O 
not O O 
cuddly O O 
sweet O O 
. O O 
%mm O O 
, O O 
%mm O O 
, O O 
no O O 
w- O O 

She O O 
do O O 
n't O O 
have O O 
time O O 
for O O 
that O O 
%uh O O 
. O O 
She O O 
does O O 
not O O 
sit O O 
still O O 
or O O 
lay O O 
still O O 
for O O 
you O O 
to O O 
change O O 
her O O 
Pampers B-PRODUCT O 
. O O 
This O O 
little O O 
girl O O 
moves O O 
. O O 
I O O 
mean O O 
you O O 
lay O O 
her O O 
down O O 
on O O 
the O O 
bed O O 
she O O 
gets O O 
up O O 

and O O 
she O O 
runs O O 
from O O 
, O O 
well O O 
she O O 
does O O 
n't O O 
run O O 
but O O 
she O O 
crawls O O 
real O O 
fast O O 
. O O 
And O O 
she O O 
has O O 
t- O O 
aw O O 
And O O 
you O O 
're O O 
like O O 
okay O O 
. O O 

And O O 
she O O 
's O O 
not O O 
a O O 
cuddly O O 
sweet O O 
little O O 
thing O O 
, O O 
she O O 
, O O 
and O O 
she O O 
climbs O O 
up O O 
the O O 
stairs O O 
, O O 
Selema B-PERSON B-PERSON 
. O O 
She O O 
's O O 
seven B-DATE B-DATE 
months I-DATE I-DATE 
old I-DATE I-DATE 
and O O 
she O O 
's O O 
climbing O O 
up O O 
the O O 
stairs O O 
. O O 

Climbs O O 
down O O 
the O O 
stairs O O 
and O O 
mom O O 
said O O 
so O O 
we O O 
found O O 
out O O 
, O O 
when O O 
did O O 
we O O 
find O O 
out O O 
Barbara B-PERSON B-PERSON 
was O O 
pregnant O O 
? O O 
Last B-DATE B-DATE 
week I-DATE I-DATE 
, O O 
we O O 
found O O 
out O O 
and O O 
mom O O 
told O O 
her O O 

mom O O 
said O O 
, O O 
Barbara B-PERSON B-PERSON 
, O O 
Jasmine B-PERSON B-PERSON 
is O O 
just O O 
moving O O 
she O O 
's O O 
moving O O 
out O O 
the O O 
way O O 
too O O 
quickly O O 
she O O 
just O O 
was O O 
not O O 
a O O 
little O O 
sweet O O 
little O O 
cuddly O O 
you O O 
know O O 
, O O 
no O O 
way O O 
%uh O O 
lay O O 
there O O 
let O O 
me O O 
look O O 
at O O 
my O O 
grandmother O O 
kind O O 
of O O 
thing O O 

No O O 
no O O 
way O O 
not O O 
one O O 
bit O O 
. O O 
oh O O 
oh O O 
Amway B-ORG O 
is O O 
probably O O 
going O O 
to O O 
have O O 
a O O 
rule O O 
though O O 
I O O 
could O O 
just O O 
I O O 
just O O 
got O O 
back O O 
from O O 
the O O 
gym O O 
. O O 
oh O O 
good O O 
. O O 

uh-huh O O 
. O O 
How O O 
's O O 
it O O 
going O O 
? O O 
oh O O 
pretty O O 
well O O 
. O O 
It O O 
was O O 
really O O 
crowded O O 
today B-DATE O 
. O O 
yeah O O 
. O O 

I O O 
kind O O 
of O O 
assumed O O 
everyone O O 
would O O 
be O O 
at O O 
the O O 
shore O O 
. O O 
uh-huh O O 
. O O 
I O O 
was O O 
wrong O O 
. O O 
Well O O 
it O O 
's O O 
the B-DATE O 
middle I-DATE O 
of I-DATE O 
the I-DATE O 
week I-DATE O 
or O O 
whatever O O 
so O O 
. O O 

But O O 
it O O 
's O O 
the B-DATE O 
fourth I-DATE I-DATE 
of I-DATE O 
July I-DATE O 
. O O 
%mm O O 
. O O 
So O O 
. O O 
yeah O O 
. O O 
People O O 
have O O 
to O O 
work O O 
tomorrow B-DATE O 
. O O 

Do O O 
you O O 
have O O 
to O O 
work O O 
tomorrow B-DATE O 
? O O 
yeah O O 
. O O 
Did O O 
you O O 
have O O 
off O O 
yesterday B-DATE O 
? O O 
Yes O O 
. O O 
oh O O 
that O O 
's O O 
good O O 
. O O 

And O O 
I O O 
was O O 
paid O O 
too O O 
. O O 
oh O O 
. O O 
Is O O 
it O O 
paid O O 
today B-DATE O 
? O O 
No O O 
. O O 
oh O O 
. O O 

But O O 
%uh O O 
yeah O O 
, O O 
so O O 
the O O 
gym O O 
's O O 
going O O 
well O O 
. O O 
oh O O 
. O O 
But O O 
I O O 
still O O 
need O O 
to O O 
go O O 
more O O 
often O O 
. O O 

Well O O 
how O O 
often O O 
are O O 
you O O 
going O O 
? O O 
Only O O 
four O B-CARDINAL 
days O I-DATE 
a O O 
week O O 
. O O 
yeah O O 
. O O 
Got O O 
to O O 
get O O 
that O O 
up O O 
to O O 
five B-CARDINAL B-CARDINAL 
. O O 
%mm O O 
. O O 

But O O 
, O O 
I O O 
do O O 
n't O O 
really O O 
like O O 
going O O 
with O O 
Anne B-PERSON O 
Marie I-PERSON I-PERSON 
because O O 
she O O 
does O O 
n't O O 
like O O 
to O O 
stay O O 
very O O 
long O O 
. O O 
Why O O 
? O O 
I O O 
do O O 
n't O O 
know O O 
. O O 
She O O 
kind O O 
of O O 
, O O 
well O O 
unfortunately O O 
for O O 
some O O 
reason O O 
she O O 
's O O 
not O O 
like O O 
into O O 
cardio O O 
vascular O O 
. O O 

So O O 
when O O 
I O O 
'm O O 
still O O 
riding O O 
the O O 
bike O O 
she O O 
's O O 
completely O O 
finished O O 
her O O 
weight O O 
lifting O O 
routine O O 
. O O 
mhm O O 
. O O 
And O O 
like O O 
I O O 
have O O 
n't O O 
even O O 
started O O 
mine O O 
. O O 
mhm O O 
. O O 
You O O 
know O O 
and O O 
I O O 
kind O O 
of O O 
hinted O O 
to O O 
her O O 
that O O 
really O O 
the O O 
only O O 
way O O 
to O O 
lose O O 
weight O O 
is O O 
cardio O O 
vascular O O 
. O O 
mhm O O 
. O O 
It O O 
's O O 
true O O 
. O O 
And O O 
that O O 
lifting O O 
the O O 
weights O O 
wo O O 
n't O O 
lose O O 
weight O O 
. O O 
%mm O O 
%mm O O 
. O O 

You O O 
wo O O 
n't O O 
lose O O 
it O O 
, O O 
you O O 
know O O 
, O O 
I O O 
mean O O 
you O O 
might O O 
lose O O 
some O O 
but O O 
that O O 
's O O 
only O O 
when O O 
yo- O O 
. O O 
For O O 
a O O 
woman O O 
who O O 
is O O 
lifting O O 
not O O 
that O O 
much O O 
I O O 
do O O 
n't O O 
think O O 
yeah O O 
. O O 
You O O 
would O O 
. O O 
I O O 
mean O O 
yeah O O 

I O O 
mean O O 
the O O 
only O O 
thing O O 
is O O 
%um O O 
just O O 
getting O O 
your O O 
heart O O 
rate O O 
up O O 
for O O 
extended O O 
periods O O 
of O O 
time O O 
. O O 
yeah O O 
, O O 
So O O 
I O O 
do O O 
n't O O 
know O O 
maybe O O 
she O O 
'll O O 
catch O O 
on O O 
soon O O 
. O O 
You O O 
do O O 
burn O O 
a O O 
lot O O 
of O O 
calories O O 
an O O 
hour O O 
though O O 
, O O 
lifting O O 
weights O O 
. O O 

uh-huh O O 
. O O 
But O O 
%uh O O 
I O O 
mean O O 
I O O 
do O O 
n't O O 
think O O 
you O O 
're O O 
going O O 
to O O 
lose O O 
that O O 
much O O 
. O O 
and O O 
also O O 
lifting O O 
weights O O 
at O O 
Bally B-FAC B-PERSON 
's I-FAC O 
means O O 
you O O 
're O O 
standing O O 
on O O 
line O O 
for O O 
as O O 
much O O 
time O O 
as O O 
you O O 
're O O 
actually O O 
lifting O O 
. O O 
Really O O 
. O O 

yeah O O 
. O O 
That O O 
's O O 
too O O 
bad O O 
. O O 
yeah O O 
. O O 
So O O 
is O O 
it O O 
really O O 
overcrowded O O 
? O O 
Well O O 
, O O 
I O O 
mean O O 
obviously O O 
since O O 
I O O 
work O O 
I O O 
ca O O 
n't O O 
get O O 
there O O 
until O O 
about B-TIME B-TIME 
six I-TIME I-TIME 
o'clock I-TIME I-TIME 
at O O 
night O O 
which O O 
is O O 
when O O 
everyone O O 
else O O 
gets O O 
there O O 
. O O 

mhm O O 
. O O 
mhm O O 
. O O 
But O O 
I O O 
'm O O 
sure O O 
for O O 
people O O 
who O O 
go O O 
in O O 
the B-TIME O 
daytime I-TIME O 
it O O 
's O O 
probably O O 
dead O O 
. O O 
yeah O O 
. O O 
You O O 
know O O 
and O O 
%um O O 
, O O 
like O O 
when O O 
I O O 
go O O 
Saturday B-TIME B-DATE 
and I-TIME O 
Sunday I-TIME B-DATE 
mornings I-TIME O 
it O O 
's O O 
totally O O 
dead O O 
. O O 
mhm O O 
. O O 

But O O 
you O O 
know O O 
the B-TIME O 
weeknights I-TIME O 
is O O 
pretty O O 
crazy O O 
. O O 
yeah O O 
. O O 
I O O 
found O O 
a O O 
gym O O 
yesterday B-DATE O 
here O O 
that O O 
's O O 
only O O 
eight B-MONEY B-QUANTITY 
pounds I-MONEY I-QUANTITY 
a O O 
month O O 
which O O 
is O O 
like O B-MONEY 
twelve B-MONEY I-MONEY 
dollars I-MONEY I-MONEY 
, O O 
twelve B-CARDINAL B-MONEY 
fifty B-CARDINAL I-MONEY 
oh O O 
yeah O O 
. O O 
Wow O O 
. O O 

yeah O O 
. O O 
It O O 
's O O 
at O O 
the O O 
hospital O O 
nearby O O 
. O O 
Well O O 
that O O 
's O O 
a O O 
deal O O 
. O O 
yeah O O 
. O O 
yeah O O 
. O O 

So O O 
uh-huh O O 
. O O 
I O O 
think O O 
%um O O 
tonight B-TIME O 
Charlie B-PERSON B-PERSON 
and O O 
I O O 
